"","Z.BR1","Z.BR2","Z.BR3","Z.CN1","Z.CN2","Z.CN3","Z.DC1","Z.DC2","Z.DC3","Z.DN1","Z.DU1","Z.DU2","Z.DU3","Z.EL1","Z.EL2","Z.EL3","Z.HB1","Z.HB2","Z.HB3","Z.HN1","Z.HN2","Z.HN3","Z.KN1","Z.KN2","Z.KN3","Z.MB1","Z.MB2","Z.MB3","Z.MN1","Z.MN2","Z.MN3","Z.NK1","Z.NK2","Z.NK3","Z.PA1","Z.PA2","Z.PA3","Z.PE.B","Z.PE1","Z.PE2","Z.PE3","Z.RB1","Z.RB2","Z.RB3","Z.RN1","Z.RN2","Z.RN3","Z.SB1","Z.SB2","Z.SB3","Z.SM1","Z.SM2","Z.SM3","Z.SN1","Z.SN2","Z.SN3","Z.SY1","Z.SY2","Z.SY3","Z.TB1","Z.TB2","Z.TB3"
"Zotu1",85158,109012,127035,0,0,0,764,883,581,0,0,0,0,29,19,13,0,0,0,0,0,0,7108,8208,7052,0,0,0,0,0,9,138759,173331,134582,13,3,19,0,1804,1474,1749,7078,7699,6857,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu10",5453,6353,7324,0,0,0,0,0,0,0,0,0,0,3447,2508,2285,34,37,20,0,3,0,2413,2957,2490,0,0,0,0,0,0,23101,29970,21905,65311,61289,72527,0,14,17,22,0,3,0,1282,1395,1195,1787,1706,1638,601,700,622,118,143,105,200,295,288,98,206,74
"Zotu100",9,7,15,7,0,3,0,0,0,4,7,13,3,39,27,16,455,312,353,138,191,229,0,0,0,0,0,0,4,15,6,0,0,3,0,27,33,0,0,0,0,0,3,4,14,32,13,438,371,417,9158,9624,8833,85,102,74,465,633,586,244,567,246
"Zotu1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,62,81,123,108,130,38,36,35,17,33,36,19,40,23
"Zotu1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,128,108,119,114,147,36,61,45,6,16,12,0,0,0
"Zotu1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,195,224,0,0,0,0,0,0,0,0,0,0,311,385,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1004",0,0,0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,12,12,10,9,27,38,36,151,140,117,70,91,106,30,68,33,0,0,0,0,0,0,0,29,42,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1005",0,0,0,16,17,8,0,0,0,20,0,0,0,14,21,13,24,15,25,0,5,7,4,5,3,4,5,6,3,7,6,4,0,0,6,0,0,5,11,11,14,32,28,23,0,0,0,79,63,75,44,43,58,18,20,15,113,136,180,7,10,0
"Zotu1008",0,0,0,360,398,357,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,0,0,0,0,0,0,27,31,32,0,0,3,0,3,7,0,0,0,0,0,0,0,0,0,0,87,84,74,7,9,5,39,38,33,0,6,5,0,0,0
"Zotu101",3727,4405,5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,2541,3253,0,0,0,0,19,20,26,2668,3084,2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1010",0,0,0,122,149,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,189,203,214,3,3,3,0,0,0,17,36,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,395,523,5,13,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1015",0,0,0,292,358,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,388,285,0,0,0,0,0,0
"Zotu1017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0
"Zotu1018",0,0,0,574,492,523,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1020",0,0,0,0,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,324,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1021",129,148,169,21,15,31,0,0,0,0,5,5,0,18,7,10,6,4,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,18,29,32,0,0,0,0,0,0,0,44,67,43,7,4,9,12,17,14,196,206,159,0,0,0,5,20,0
"Zotu1022",0,0,0,37,32,29,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,5,11,4,109,105,94,110,120,134,11,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1023",0,0,0,0,0,0,0,0,0,0,344,344,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1024",214,265,374,0,0,0,0,0,0,0,0,0,0,138,72,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1025",0,0,0,0,0,3,0,0,0,0,8,3,5,0,0,0,12,8,6,4,10,7,0,0,0,0,0,0,16,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,510,186
"Zotu1026",14,35,30,132,151,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,24,30,39,44,66,38,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,22,12,11,12,0,0,0,18,7,17
"Zotu1027",0,0,0,0,0,0,0,0,0,0,302,263,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu1028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,11,5,9,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,77,44,101,115,144,55,52,48,4,9,7,0,15,7
"Zotu103",0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,407,327,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9392,9131,10679,0,0,0,0,0,0,0,0,0,0,84,82,79,230,256,216,0,0,0,26,24,33,786,2171,793
"Zotu1030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,10,6,7,0,5,9,16,14,6,17,13,3,0,0,5,3,11,101,382,128
"Zotu1032",0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,42,20,26,12,3,7,0,0,0,9,6,7,8,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,128,405,151
