"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","OTU_1","Low","213368","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Pseudodiaptomidae","Pseudodiaptomus","Pseudodiaptomus nihonkaiensis"
"2","OTU_2","High-MH","None","Eukaryota","Chlorophyta","Ulvophyceae","Ulvales","Ulvaceae","Ulva",NA
"3","OTU_3","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Pyura",NA
"4","OTU_4","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus",NA
"5","OTU_5","High-MH","None","Eukaryota","","Dinophyceae",NA,NA,NA,NA
"6","OTU_6","Low","1109177","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona sp. 2 New Caledonia-RJH-2004"
"7","OTU_7","High-MH","None","Eukaryota","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Pyura",NA
"8","OTU_8","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium",NA
"9","OTU_9","High-MH","None","Eukaryota","","Dinophyceae","Gonyaulacales","Ceratiaceae","Tripos",NA
"10","OTU_10","High","464989","Eukaryota","Cryptophyta","","Cryptomonadales","Hemiselmidaceae","Hemiselmis","Hemiselmis cryptochromatica"
"11","OTU_11","Low","1109176","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona sp. 1 New Caledonia-RJH-2001"
"12","OTU_12","High","2420342","Eukaryota","","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium jinhaense"
"13","OTU_13","High","1590127","Eukaryota","Ciliophora","Spirotrichea","Stichotrichida","Spirofilidae","Hypotrichidium","Hypotrichidium paraconicum"
"14","OTU_14","High-MH","None","Eukaryota","Chlorophyta","Chlorophyceae","Chlamydomonadales",NA,NA,NA
"15","OTU_15","High-MH","None","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus",NA
