"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","OTU_1","Low","1453366","Eukaryota","Bacillariophyta","Mediophyceae","Triceratiales","Plagiogrammaceae","Plagiogramma","Plagiogramma sp. IAL-2014a"
"10","OTU_10","Low","2003113","Eukaryota","","Chrysophyceae","Chromulinales","Chromulinaceae","Pedospumella","Pedospumella sp."
"100","OTU_100","Low","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"991","OTU_1000","Low","163503","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros socialis"
"9868","OTU_10001","Low","2125992","Eukaryota","","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium acanthophoron"
"9869","OTU_10002","None","None",NA,NA,NA,NA,NA,NA,NA
"9876","OTU_10009","None","None",NA,NA,NA,NA,NA,NA,NA
"992","OTU_1001","None","None",NA,NA,NA,NA,NA,NA,NA
"9882","OTU_10015","None","None",NA,NA,NA,NA,NA,NA,NA
"9887","OTU_10020","None","None",NA,NA,NA,NA,NA,NA,NA
"9888","OTU_10021","None","None",NA,NA,NA,NA,NA,NA,NA
"9891","OTU_10024","Low","2249798","Eukaryota","Arthropoda","Insecta","Hemiptera","","","Hemiptera sp. BIOUG03768-E03"
"994","OTU_1003","None","None",NA,NA,NA,NA,NA,NA,NA
"9906","OTU_10040","Low","71933","Eukaryota","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita rubescens"
"9907","OTU_10041","None","None",NA,NA,NA,NA,NA,NA,NA
"9913","OTU_10047","None","None",NA,NA,NA,NA,NA,NA,NA
"996","OTU_1005","None","None",NA,NA,NA,NA,NA,NA,NA
"997","OTU_1006","Low","1388755","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus Pelagibacter","Candidatus Pelagibacter sp. HIMB1321"
"9929","OTU_10063","Low","216823","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Skeletonema menzelii"
"9931","OTU_10065","None","None",NA,NA,NA,NA,NA,NA,NA
