"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","OTU_1","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"10","OTU_10","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"100","OTU_100","High","243198","Eukaryota","","","Rotaliida","","Virgulinella","Virgulinella fragilis"
"1000","OTU_1000","High","685624","Bacteria","Proteobacteria","Alphaproteobacteria","","","","alpha proteobacterium SF33"
"1001","OTU_1001","Low","420951","Bacteria","Proteobacteria","Oligoflexia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio sp. BDH12"
"1003","OTU_1003","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"1004","OTU_1004","High","1010222","Bacteria","Proteobacteria","Alphaproteobacteria","","","","alpha proteobacterium SCGC AAA160-B02"
"1006","OTU_1006","Low","151","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Oceanispirochaeta","Oceanispirochaeta litoralis"
"1007","OTU_1007","Low","67781","Eukaryota","Chlorophyta","","Pyramimonadales","","Pyramimonas","Pyramimonas disomata"
"1008","OTU_1008","Low","1010386","Bacteria","Proteobacteria","Gammaproteobacteria","","","","gamma proteobacterium SCGC AAA160-O03"
"101","OTU_101","Low","1009925","Bacteria","Bacteroidetes","","","","","Bacteroidetes bacterium SCGC AAA160-C05"
"1011","OTU_1011","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"1012","OTU_1012","High-MH","None","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"1014","OTU_1014","Low","2801","Eukaryota","Rhodophyta","Rhodellophyceae","Rhodellales","Rhodellaceae","Rhodella","Rhodella violacea"
"1016","OTU_1016","Low","1436140","Eukaryota","Bacillariophyta","Fragilariophyceae","Licmophorales","Ulnariaceae","Ulnaria","Ulnaria acus"
"1017","OTU_1017","Low","568146","Bacteria","","","","","","endosymbiont of Petrasma sp."
"1018","OTU_1018","High-MH-S","1009981;1200254","Bacteria","Verrucomicrobia","","","","",NA
"1019","OTU_1019","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"102","OTU_102","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"1021","OTU_1021","Low","109320","Bacteria","Proteobacteria","Gammaproteobacteria","","","","sulfur-oxidizing bacterium NDII1.2"
"1024","OTU_1024","Low","2115823","Eukaryota","Bacillariophyta","Fragilariophyceae","Licmophorales","Licmophoraceae","Licmophora","Licmophora sp."
"1025","OTU_1025","None","None",NA,NA,NA,NA,NA,NA,NA
"1026","OTU_1026","Low","1548547","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Woeseiaceae","Woeseia","Woeseia oceani"
"1027","OTU_1027","Low","1778533","Bacteria","","","","","","bacterium OM241"
"10281","OTU_10282","Low","1368241","Bacteria","Proteobacteria","Alphaproteobacteria","","","","bacterium episymbiont of Kiwa sp."
"1029","OTU_1029","Low","641416","Bacteria","Bacteroidetes","Flavobacteriia","","","","Flavobacteria bacterium 7515"
"103","OTU_103","High-MH","None","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database","Can't find taxa in database"
"1030","OTU_1030","Low","1966413","Bacteria","Cyanobacteria","","","","","unicellular cyanobacterium 9"
"1032","OTU_1032","High","197652","Bacteria","","","","","","dibenzofuran-degrading bacterium DBF-MAK"
"1037","OTU_1037","Low","1534972","Eukaryota","","Bolidophyceae","Parmales","Triparmaceae","Triparma","Triparma laevis"
"1038","OTU_1038","Low","1712073","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Catenovulum","Catenovulum sp. iR7"
"1039","OTU_1039","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"1041","OTU_1041","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"1042","OTU_1042","High","188144","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio","Enterovibrio norvegicus"
"1044","OTU_1044","Low","1009947","Bacteria","Bacteroidetes","","","","","Bacteroidetes bacterium SCGC AAA160-P09"
"1045","OTU_1045","High-MH","None","Bacteria","Actinobacteria","Actinobacteria","","","",NA
"1046","OTU_1046","Low","1009883","Bacteria","","","","","","bacterium SCGC AAA071-D23"
"1047","OTU_1047","High-MH","None","Bacteria","Proteobacteria","Gammaproteobacteria","","","",NA
"1048","OTU_1048","Low","2003360","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Meridianimaribacter","Meridianimaribacter sp."
"105","OTU_105","High-MH","None","Bacteria",NA,NA,NA,NA,NA,NA
"1051","OTU_1051","Low","466025","Bacteria","","","","","","bacterium HTCC8037"
"1052","OTU_1052","Low","1913988","Bacteria","Proteobacteria","Alphaproteobacteria","","","","Alphaproteobacteria bacterium"
"1053","OTU_1053","Low","1009992","Bacteria","Verrucomicrobia","","","","","Verrucomicrobia bacterium SCGC AAA160-P19"
"1054","OTU_1054","Low","53249","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas sp."
"1055","OTU_1055","Low","939806","Bacteria","Cyanobacteria","","Synechococcales","Prochloraceae","Prochlorococcus","Prochlorococcus sp. SCGC AAA298-C17"
"1056","OTU_1056","Low","67781","Eukaryota","Chlorophyta","","Pyramimonadales","","Pyramimonas","Pyramimonas disomata"
"1057","OTU_1057","Low","296676","Eukaryota","","Dictyochophyceae","Pedinellales","","Mesopedinella","Mesopedinella arctica"
"1059","OTU_1059","Low","939632","Bacteria","Proteobacteria","Deltaproteobacteria","","","","delta proteobacterium SCGC AAA300-D09"
