,RowID,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Status,AphiaID,Match type,Qualitystatus,ScientificName,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,Citation
34,1005,OTU_1014,High,77300,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,Margalefidinium polykrikoides,uncertain,990876,exact,Checked by Taxonomic Editor,Margalefidinium polykrikoides,990876,Margalefidinium polykrikoides,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,,polykrikoides,,"Guiry, M.D. & Guiry, G.M. (2019). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Margalefidinium polykrikoides (Margalef) F.Gómez, Richlen & D.M.Anderson, 2017. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=990876 on 2020-01-16"
69,1020,OTU_1029,High,39450,Eukaryota,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum,uncertain,110316,exact,Checked by Taxonomic Editor,Prorocentrum triestinum,110316,Prorocentrum triestinum,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,,triestinum,,"Guiry, M.D. & Guiry, G.M. (2020). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Prorocentrum triestinum J.Schiller, 1918. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=110316 on 2020-01-16"
79,1026,OTU_1035,High,1562161,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Perforatus,Perforatus perforatus,,,,,,,,,,,,,,,,,
140,1059,OTU_1068,High,1073398,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia circumpora,,,,,,,,,,,,,,,,,
148,1063,OTU_1072,High,1562161,Eukaryota,Arthropoda,Hexanauplia,Sessilia,Balanidae,Perforatus,Perforatus perforatus,,,,,,,,,,,,,,,,,
175,10669,OTU_10819,High,1577906,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Berkeleyaceae,Berkeleya,Berkeleya fennica,,,,,,,,,,,,,,,,,
202,10810,OTU_10960,High,1167209,Eukaryota,Annelida,Polychaeta,Spionida,Spionidae,Polydora,Polydora websteri,uncertain,153847,exact,Checked by Taxonomic Editor,Polydora websteri,153847,Polydora websteri,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polydora,,websteri,,"Read, G.; Fauchald, K. (Ed.) (2020). World Polychaeta database. Polydora websteri Hartman in Loosanoff & Engle, 1943. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=153847 on 2020-01-16"
207,11,OTU_11,High,744985,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,,alpha proteobacterium HIMB59,,,,,,,,,,,,,,,,,
243,11104,OTU_11257,High,308594,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Kirchenpaueriidae,Kirchenpaueria,Kirchenpaueria halecioides,,,,,,,,,,,,,,,,,
266,1127,OTU_1137,High,2903,Eukaryota,,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,,,,,,,,,,,,,,,,,
