Level,ID
Kingdom.ish,Alveolata
Kingdom.ish,Amoebozoa
Kingdom.ish,Centrohelida
Kingdom.ish,Collodictyonidae
Kingdom.ish,Cryptophyceae
Kingdom.ish,Discoba
Kingdom.ish,Haptophyta
Phylum,Eukaryota_undef_Choanoflagellida 
Phylum,Fornicata
Phylum,Ichthyosporea
Phylum,Preaxostyla
Phylum,Ancyromonadida
Phylum,Apusomonadidae
Phylum,Breviatea
Phylum,Cercozoa
Phylum,Retaria
Phylum,Peronosporomycetes
Phylum,Labyrinthulomycetes
Phylum,Peronosporomycetes
Class,Mamiellophyceae
Class,Chlorodendrophyceae
Class,Chlorophyceae
Class,Clade_VII 
Class,Nephroselmidophyceae
Class,Prasinophytae
Class,Trebouxiophyceae
Class,Eccrinales
Class,Rhodellophyceae
Class,Diatomea
