Level,ID
Phylum,Apicomplexa
Phylum,Bacillariophyta
Phylum,Chytridiomycota
Phylum,Cryptophyta
Class,Mamiellophyceae
Class,Bolidophyceae
Class,Chlorarachniophyceae
Class,Chrysophyceae
Class,Dictyochophyceae
Class,Eustigmatophyceae
Class,Glaucocystophyceae
Class,Haptophyceae
Class,Ichthyosporea
Class,Katablepharidophyta
Class,Labyrinthulomycetes
Class,Oligohymenophorea
Class,Oomycetes
Class,Raphidophyceae
Class,Spirotrichea
Class,Synurophyceae
Order,Choanoflagellida
Order,Himatismenida
Order,Kinetoplastida
Order,Longamoebia
Family,Apusomonadidae
Family,Malawimonadidae
Family,Paramoebidae
Family,Tsukubamonadidae
Family,Vannellidae
