PhylaAssignment,SuperGroup
Acanthocystidae,Haptista
Alveolata_uncultured,TSAR
Apicomplexa,TSAR
Apusomonadidae,Amorphea
Breviatea,Amorphea
Cercozoa,TSAR
Chloroplastida_undef,Archaeplastida
Ciliophora,TSAR
Cryptomonadales,Cryptista
Cryptophyceae_undef,Cryptista
Dinoflagellata,TSAR
Eukaryota_undef_undef,UnDefinedEuk
Fornicata,Excavata
Haptophyta_undef,Haptista
Ichthyosporea,Amorphea
Jakobida,Excavata
Kathablepharidae,Cryptista
Ochrophyta,TSAR
Peronosporomycetes,TSAR
Protalveolata,TSAR
Prymnesiophyceae,Haptista
Retaria,TSAR
