"","L.BR1","L.BR2","L.BR3","L.CN1","L.CN2","L.CN3","L.DU1","L.DU2","L.DU3","L.EL1","L.EL2","L.EL3","L.HB1","L.HB2","L.HB3","L.HN1","L.HN2","L.HN3","L.KN1","L.KN2","L.KN3","L.MB1","L.MB2","L.MB3","L.MN1","L.MN2","L.MN3","L.NK1","L.NK2","L.NK3","L.PA1","L.PA2","L.PA3","L.PE1","L.PE2","L.PE3","L.RB1","L.RB2","L.RB3","L.RN1","L.RN2","L.RN3","L.SM1","L.SM2","L.SM3","L.SN1","L.SN2","L.SN3","L.SY1","L.SY2","L.SY3","L.TB1","L.TB2","L.TB3"
"OTU_1",0,0,0,0,0,0,0,0,0,0,0,0,10557,13553,21689,22858,40972,30060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,37929,47834,22757,25940,27125,24402,17105,25596,36467,0,8,0
"OTU_10",0,0,0,0,0,0,0,0,0,0,0,0,14619,18671,29087,7817,14340,10318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,140,40
"OTU_100",121,110,100,607,963,736,0,0,0,0,0,0,61,51,140,522,940,616,209,278,176,345,212,253,497,419,443,512,843,890,64,101,91,52,92,61,0,0,0,0,0,0,39,56,27,68,75,52,14,17,34,331,1163,201
"OTU_1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,9,270,212,232,122,107,103,21,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
