"","BR1","BR2","BR3","CN1","CN2","CN3","DU1","DU2","DU3","EL1","EL2","EL3","HB1","HB2","HB3","HN1","HN2","HN3","KN1","KN2","KN3","MB1","MB2","MB3","MN1","MN2","MN3","NK1","NK2","NK3","PA1","PA2","PA3","PE1","PE2","PE3","RB1","RB2","RB3","RN1","RN2","RN3","SM1","SM2","SM3","SN1","SN2","SN3","SY1","SY2","SY3","TB1","TB2","TB3"
"OTU_1",6052,2224,1843,26514,22383,23457,0,0,0,5127,5124,6312,32260,32047,31897,62116,39303,29539,8905,9020,12347,19464,20607,19580,13591,12932,8092,9494,6648,12568,5369,5686,4195,20912,34240,24686,0,0,0,0,0,0,12369,10049,5162,12630,17833,13715,10810,18745,16535,608,602,525
"OTU_10",2488,895,809,8463,6764,7482,114,124,107,1230,1170,1705,9831,12104,12289,28851,17978,12990,983,981,1297,2992,3354,3068,2017,1638,1186,1109,728,1363,1681,1758,1377,3297,4940,4133,1016,878,1081,83,113,88,6373,5143,2536,3534,4176,3504,1266,2362,2143,2935,2787,2609
"OTU_100",0,0,0,50,0,44,0,50,76,0,0,0,655,814,873,107,78,40,85,58,116,4275,4660,4649,1590,1384,932,36,39,46,0,0,0,0,91,66,564,458,551,71,94,61,384,365,157,55,71,56,137,225,247,100,91,95
"OTU_1000",0,0,0,0,0,0,241,296,214,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,166,56,121,152,114,24,54,63,0,0,0
"OTU_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,277,163,0,0,0,0,0,0,0,0,0
"OTU_10034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,279,244
"OTU_1006",0,0,0,237,193,221,0,0,0,0,0,0,0,0,0,24,13,16,0,0,0,0,0,0,50,53,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"OTU_10061",0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10067",0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10068",0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1007",0,0,0,0,0,3,0,0,0,0,0,0,57,90,63,39,18,13,134,111,137,35,52,43,10,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,7,0,10,5,6,8,0,3,0,0
"OTU_10079",0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,404,172,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10081",0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10084",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10085",0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10086",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10087",0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"OTU_10091",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"OTU_10092",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"OTU_10096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"OTU_101",278,92,91,3732,2862,3296,0,0,0,42,59,53,44,52,64,197,132,98,115,99,123,230,271,213,2061,1894,1205,54,43,82,119,112,114,177,263,259,0,0,0,0,0,0,506,410,231,292,325,278,164,283,267,138,126,103
"OTU_10101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
