"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",58876,0,0,12,0,0,2911,0,0,62780,0,0,0,0,0,0,0,0
"OTU_10",3249,0,0,1245,0,0,1229,0,0,9330,36222,0,0,573,384,66,129,0
"OTU_100",545,99,149,217,0,0,102,46,28,186,1334,33,152,31,162,37,47,1377
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,47,0
"OTU_1003",0,0,0,0,34,0,0,0,0,0,0,30,0,0,32,0,0,0
"OTU_1005",0,0,78,0,0,0,0,0,0,0,0,0,129,12,0,0,0,0
"OTU_1007",0,174,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1009",151,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"OTU_101",70,0,331,1913,402,200,318,75,296,236,133,8,20,60,381,72,26,616
"OTU_1010",15,41,0,0,0,0,0,0,20,0,24,0,0,0,0,0,0,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,79
"OTU_1012",0,0,36,0,0,0,0,0,0,0,0,0,0,6,34,16,11,0
"OTU_1014",0,0,47,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1015",0,0,0,0,49,31,0,0,0,0,0,0,0,0,0,0,0,22
"OTU_1017",0,0,0,0,8,0,0,82,56,0,0,0,0,0,0,0,0,0
"OTU_1018",0,107,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0
"OTU_1020",0,7,87,0,0,0,0,0,6,0,0,0,93,0,0,0,0,0
"OTU_1022",0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,23
"OTU_1023",0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,6,11,0
"OTU_1025",0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1027",0,0,0,0,76,40,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1028",93,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
"OTU_103",0,0,6469,0,0,0,0,0,0,0,0,0,61,71,0,0,0,0
"OTU_1030",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"OTU_1031",62,0,0,11,0,0,0,0,0,0,0,0,0,76,0,0,0,0
"OTU_1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"OTU_1034",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"OTU_1035",0,109,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"OTU_1036",0,223,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0
"OTU_1038",0,0,0,0,6,0,0,0,0,0,0,0,0,0,74,18,12,0
"OTU_1039",0,0,0,0,0,0,0,91,36,17,0,0,0,0,0,0,0,0
"OTU_104",3102,0,0,0,0,0,108,0,0,650,289,0,0,783,46,18,9,153
"OTU_1042",0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
"OTU_1043",0,99,0,0,0,0,0,0,33,0,0,15,0,0,0,0,0,0
"OTU_1044",0,0,0,0,103,0,0,0,0,0,0,0,0,0,29,0,12,0
"OTU_1047",0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,88,0,0
"OTU_1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"OTU_1049",6,0,5,6,14,10,0,0,0,17,8,22,14,6,0,0,0,8
"OTU_105",0,0,0,0,0,0,0,0,0,0,5591,0,0,0,0,0,0,0
"OTU_1050",0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0
"OTU_1051",0,0,0,0,9,0,0,0,113,0,0,0,0,0,0,0,0,0
"OTU_1054",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,68
"OTU_1055",13,87,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"OTU_1056",0,34,0,0,0,0,0,0,26,0,0,9,0,0,61,15,0,0
"OTU_1058",0,69,0,0,0,13,0,0,0,0,0,0,0,0,74,15,0,0
"OTU_1059",0,27,0,0,5,0,6,14,65,16,0,0,0,0,0,0,0,0
"OTU_106",2313,0,0,0,0,0,0,0,0,0,1667,0,16,1275,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"OTU_1061",0,0,0,0,6,0,0,44,8,0,0,14,87,0,0,0,0,2
