"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",58865,0,0,12,0,0,2915,0,0,62816,0,0,0,0,0,0,0,0
"OTU_10",3272,0,0,1248,0,0,1230,0,0,9358,36240,0,0,585,384,54,133,0
"OTU_100",545,115,146,210,0,0,99,49,31,191,1326,33,151,35,168,36,43,1374
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,16,43,0
"OTU_1003",0,0,0,0,35,0,0,0,0,0,0,31,0,0,30,0,0,0
"OTU_1005",0,0,77,0,0,0,0,0,0,0,0,0,123,11,0,0,0,0
"OTU_1007",0,179,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1009",148,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"OTU_101",68,0,337,1901,395,195,307,78,309,229,129,8,20,63,392,77,25,612
"OTU_1010",19,43,0,0,0,0,0,0,19,0,27,0,0,0,0,0,0,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,81
"OTU_1012",0,0,29,0,0,0,0,0,0,0,0,0,0,4,35,17,9,0
"OTU_1014",0,0,49,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1015",0,0,0,0,50,31,0,0,0,0,0,0,0,0,0,0,0,19
"OTU_1017",0,0,0,0,8,0,0,87,62,0,0,0,0,0,0,0,0,0
"OTU_1018",0,112,0,0,0,0,17,27,0,0,0,0,0,0,0,0,0,0
"OTU_1020",0,8,87,0,0,0,0,0,4,0,0,0,94,0,0,0,0,0
"OTU_1022",0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,24
"OTU_1023",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,8,12,0
"OTU_1025",0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1027",0,0,0,0,79,35,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1028",88,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0
"OTU_103",0,0,6477,0,0,0,0,0,0,0,0,0,65,71,0,0,0,0
"OTU_1030",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"OTU_1031",60,0,0,11,0,0,0,0,0,0,0,0,0,73,0,0,0,0
"OTU_1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"OTU_1034",0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"OTU_1035",0,105,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"OTU_1036",0,234,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0
"OTU_1038",0,0,0,0,8,0,0,0,0,0,0,0,0,0,75,21,14,0
"OTU_1039",0,0,0,0,0,0,0,92,38,15,0,0,0,0,0,0,0,0
"OTU_104",3100,0,0,0,0,0,104,0,0,637,291,0,0,792,49,13,9,156
"OTU_1042",0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0
"OTU_1043",0,102,0,0,0,0,0,0,32,0,0,18,0,0,0,0,0,0
"OTU_1044",0,0,0,0,101,0,0,0,0,0,0,0,0,0,28,0,10,0
"OTU_1047",0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,92,0,0
"OTU_1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"OTU_1049",6,0,4,5,12,9,0,0,0,14,9,22,13,8,0,0,0,9
"OTU_105",0,0,0,0,0,0,0,0,0,0,5552,0,0,0,0,0,0,0
"OTU_1050",0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0
"OTU_1051",0,0,0,0,7,0,0,0,117,0,0,0,0,0,0,0,0,0
"OTU_1054",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,65
"OTU_1055",11,94,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
"OTU_1056",0,31,0,0,0,0,0,0,31,0,0,10,0,0,61,19,0,0
"OTU_1058",0,69,0,0,0,14,0,0,0,0,0,0,0,0,70,15,0,0
"OTU_1059",0,25,0,0,7,0,5,13,61,20,0,0,0,0,0,0,0,0
"OTU_106",2287,0,0,0,0,0,0,0,0,0,1683,0,16,1272,0,0,0,0
"OTU_1060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"OTU_1061",0,0,0,0,5,0,0,44,10,0,0,14,88,0,0,0,0,3
"OTU_1062",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1063",5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,10,52
"OTU_1064",0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
"OTU_1068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
