"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",22180,0,0,14,0,0,917,0,0,19619,0,0,0,0,0,0,0,0
"OTU_1014",0,0,14,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1025",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1028",35,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"OTU_1031",25,0,0,16,0,0,0,0,0,0,0,0,0,72,0,0,0,0
"OTU_1035",0,38,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_1036",0,76,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0
"OTU_1044",0,0,0,0,25,0,0,0,0,0,0,0,0,0,15,0,7,0
"OTU_1056",0,9,0,0,0,0,0,0,24,0,0,3,0,0,27,23,0,0
"OTU_1058",0,19,0,0,0,3,0,0,0,0,0,0,0,0,37,22,0,0
"OTU_1064",0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
"OTU_1073",0,0,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_1076",0,22,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
"OTU_108",0,0,741,0,0,0,0,0,0,0,0,0,1237,217,0,0,0,0
"OTU_1080",0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
"OTU_1083",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1087",0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
"OTU_1089",26,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
"OTU_1096",0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,142,0,0
"OTU_11",0,0,7942,0,0,0,0,0,0,0,0,235,14858,1690,0,0,0,0
"OTU_1105",0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
"OTU_1111",0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1112",0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
"OTU_1121",0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1125",5,0,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"OTU_1126",0,0,24,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0
"OTU_1140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,147,0,0
"OTU_1143",0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_115",1534,0,0,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0
"OTU_1159",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1161",0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0
"OTU_1162",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1166",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"OTU_117",0,31,0,0,13,0,0,0,0,5,0,0,0,0,634,4263,0,0
"OTU_1176",0,0,0,0,0,0,5,21,0,0,0,16,0,0,0,0,0,0
"OTU_1178",0,20,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"OTU_1181",0,0,0,0,7,0,0,7,5,0,0,4,4,0,20,0,0,0
"OTU_1184",0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
"OTU_1185",0,12,0,121,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"OTU_1187",0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1188",0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,44
"OTU_1194",0,47,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"OTU_1198",0,16,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"OTU_1204",0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"OTU_1208",0,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"OTU_121",0,0,545,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0
"OTU_1211",0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0
"OTU_1214",0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1219",0,0,0,0,0,0,7,4,0,18,0,0,0,0,0,0,0,0
"OTU_1225",0,0,0,0,0,0,0,0,43,0,0,17,0,0,0,0,0,0
"OTU_1226",0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
"OTU_123",0,1157,0,0,8,0,0,0,0,0,0,0,0,0,74,8,8,14
"OTU_124",0,0,0,0,0,0,0,0,0,0,0,0,1646,0,0,0,0,0
"OTU_1242",0,0,0,0,0,0,0,0,0,0,0,0,47,14,0,0,0,0
"OTU_1259",0,17,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0
"OTU_126",0,0,0,4674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1262",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
"OTU_1271",0,0,39,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"OTU_1273",0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1278",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,79,0,0
"OTU_128",0,0,537,0,0,0,33,0,0,367,0,0,0,242,0,0,0,0
"OTU_1283",27,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
"OTU_1298",0,0,0,43,0,0,5,5,10,0,0,7,0,0,0,0,0,0
"OTU_1304",0,9,0,0,0,0,0,0,72,0,0,0,0,0,0,20,0,0
"OTU_1306",0,18,0,0,0,0,0,0,39,0,0,2,0,0,0,0,0,0
"OTU_1316",0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
"OTU_1321",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1328",0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0
"OTU_1336",0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0
"OTU_134",156,0,0,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0
"OTU_1342",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1343",0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
"OTU_1349",0,0,0,0,0,0,6,0,0,0,0,0,0,0,35,16,0,0
"OTU_135",0,0,0,0,777,0,0,0,0,0,0,0,0,0,0,0,25,90
"OTU_1354",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1355",0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_1356",0,5,0,0,0,0,3,7,18,4,0,0,0,0,0,0,0,0
"OTU_1358",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
"OTU_1359",26,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1360",0,12,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0
"OTU_1362",2,0,12,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
"OTU_1366",0,0,0,0,5,0,8,15,0,0,0,0,0,0,0,0,0,0
"OTU_1371",6,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0
"OTU_1376",0,0,42,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_1377",0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,0,0
"OTU_1380",0,0,0,0,6,0,0,0,8,0,0,0,0,0,8,0,0,0
"OTU_1390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,0,0
"OTU_140",0,505,0,0,0,0,0,0,1847,0,0,0,0,0,0,0,0,0
"OTU_1405",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
"OTU_141",0,569,0,0,99,3,1,5,650,6,0,0,0,0,20,0,0,39
"OTU_1410",0,7,0,0,0,0,0,0,47,3,0,0,0,0,0,0,0,0
"OTU_1415",0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
"OTU_1418",0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_142",0,298,0,0,0,0,0,0,1355,9,0,0,0,0,0,0,0,0
"OTU_1427",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"OTU_1428",0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
"OTU_1429",0,10,0,0,0,0,0,0,32,0,0,0,0,0,5,0,0,0
"OTU_1431",0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
"OTU_1437",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1440",0,29,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_1441",0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0
"OTU_1450",0,0,0,0,0,5,0,0,0,0,38,0,0,0,0,0,0,0
"OTU_1457",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_146",4,8,0,0,0,0,3,191,238,440,0,0,0,0,0,0,0,0
"OTU_147",0,0,788,0,0,0,90,0,0,0,0,0,525,0,0,0,0,0
"OTU_1472",0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
"OTU_1473",0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"OTU_1475",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1476",0,0,0,47,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"OTU_1481",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1483",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
"OTU_1486",5,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0
"OTU_149",0,0,0,0,0,434,0,51,0,0,0,0,0,0,0,0,0,0
"OTU_1492",0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0
"OTU_1495",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1496",18,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,6
"OTU_15",0,7,0,0,0,0,6804,0,8,2,0,0,3989,0,0,0,3575,0
"OTU_150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,2654,0,0
"OTU_1500",0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"OTU_1504",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"OTU_1505",0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"OTU_1508",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1509",0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,21
"OTU_1512",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1516",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"OTU_1517",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"OTU_1523",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1531",0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
"OTU_1558",0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
"OTU_1562",0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
"OTU_1565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,64,0,0
"OTU_1587",0,0,0,0,0,0,0,0,0,0,17,0,0,40,0,0,0,0
"OTU_16",0,0,0,0,0,0,0,99,1104,119,0,9203,0,0,0,10926,464,0
"OTU_160",0,0,0,0,0,0,0,0,0,0,0,257,1335,0,0,0,0,0
"OTU_1607",0,7,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0
"OTU_1618",0,0,11,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
"OTU_1624",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1630",0,0,0,8,0,0,0,0,0,7,15,0,0,0,0,0,0,0
"OTU_1639",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5
"OTU_1643",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1649",0,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"OTU_1653",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"OTU_1655",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1657",0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_168",23,694,0,0,58,0,0,0,104,0,0,0,0,0,18,52,0,0
"OTU_1686",19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU_1689",0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0
"OTU_169",11,227,0,0,391,21,24,0,133,18,0,4,0,0,11,0,0,0
"OTU_1690",0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1693",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_17",177,6,0,0,0,0,9,13818,13,0,0,44,0,0,0,0,0,0
"OTU_1706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"OTU_171",0,283,0,0,0,0,53,0,328,215,0,26,0,0,0,0,0,0
"OTU_1715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"OTU_1716",0,3,0,0,0,0,0,0,22,0,0,0,2,0,0,0,0,0
