"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_10",644,0,0,130,0,0,290,0,0,2358,4332,0,0,73,70,96,18,0
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,4,0
"OTU_1005",0,0,32,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0
"OTU_1009",27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_101",13,0,141,201,103,175,77,20,39,59,15,2,6,6,70,115,4,82
"OTU_1010",6,20,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
"OTU_1012",0,0,17,0,0,0,0,0,0,0,0,0,0,1,7,27,1,0
"OTU_1015",0,0,0,0,11,29,0,0,0,0,0,0,0,0,0,0,0,4
"OTU_1017",0,0,0,0,3,0,0,27,5,0,0,0,0,0,0,0,0,0
"OTU_1018",0,42,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
"OTU_1020",0,3,38,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"OTU_1022",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3
"OTU_1023",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,2,0
"OTU_1027",0,0,0,0,22,36,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_103",0,0,2767,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0
"OTU_1030",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_1032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"OTU_1034",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"OTU_1038",0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,30,2,0
"OTU_1039",0,0,0,0,0,0,0,27,3,4,0,0,0,0,0,0,0,0
"OTU_104",633,0,0,0,0,0,24,0,0,171,41,0,0,88,10,22,1,19
"OTU_1042",0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
"OTU_1047",0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,144,0,0
"OTU_1048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1049",1,0,3,1,2,9,0,0,0,5,2,6,4,0,0,0,0,1
"OTU_105",0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0
