"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",0,0,0,0,8076,9117,0,0,0,0,0,0,0,0,22646,6901,14311,0
"OTU_10",0,0,0,0,11061,3150,0,0,0,0,0,0,0,0,0,0,0,31
"OTU_100",54,344,0,0,46,199,134,166,237,159,59,43,0,0,25,17,10,216
"OTU_1000",0,0,0,0,0,0,0,153,61,6,0,0,0,0,0,0,0,0
"OTU_10001",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10002",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"OTU_10009",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1001",0,0,0,109,0,0,0,0,0,0,0,0,13,21,0,0,0,0
"OTU_10015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"OTU_10020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_10021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"OTU_10024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"OTU_1003",70,0,0,145,0,0,9,0,0,7,0,0,0,0,0,0,0,0
"OTU_10040",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10041",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10047",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_1005",0,0,0,0,23,41,0,0,15,0,0,0,0,0,19,9,10,0
"OTU_1006",0,0,0,0,0,0,125,0,0,160,109,0,0,0,0,0,0,0
"OTU_10063",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10065",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1007",0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
"OTU_1008",0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10095",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101",0,0,0,0,0,0,2110,0,0,0,0,409,0,0,0,0,0,0
"OTU_1010",50,0,0,0,0,0,0,0,0,54,3,0,0,0,0,0,0,0
"OTU_1012",0,0,0,0,38,76,0,17,0,0,0,0,0,0,0,0,0,0
