"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",0,0,0,0,5238,6023,0,0,0,0,0,0,0,0,15035,4554,9338,0
"OTU_10",0,0,0,0,7132,2130,0,0,0,0,0,0,0,0,0,0,0,22
"OTU_100",50,256,0,0,29,142,111,115,170,156,67,33,0,0,15,14,10,136
"OTU_1000",0,0,0,0,0,0,0,101,45,6,0,0,0,0,0,0,0,0
"OTU_10001",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_10002",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10009",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OTU_10015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"OTU_10020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"OTU_1003",68,0,0,96,0,0,6,0,0,6,0,0,0,0,0,0,0,0
"OTU_10040",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10041",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10047",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"OTU_10063",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1007",0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
"OTU_1008",0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10095",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101",0,0,0,0,0,0,1830,0,0,0,0,290,0,0,0,0,0,0
"OTU_1010",44,0,0,0,0,0,0,0,0,56,3,0,0,0,0,0,0,0
"OTU_1012",0,0,0,0,26,47,0,13,0,0,0,0,0,0,0,0,0,0
"OTU_1013",0,0,0,0,0,0,0,0,0,0,0,0,25,58,0,0,0,0
"OTU_10132",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10134",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10135",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10136",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10137",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10139",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10140",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10143",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_1015",0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10155",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10156",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10168",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_102",78,0,0,0,0,0,0,0,0,0,0,0,8,722,0,0,0,0
"OTU_10217",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
