"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_10002",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_10021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"OTU_1007",0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
"OTU_1008",0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_101",0,0,0,0,0,0,694,0,0,0,0,231,0,0,0,0,0,0
"OTU_10132",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10156",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10168",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10222",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_10226",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_10252",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_10259",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_1027",0,0,0,0,0,13,0,51,31,5,0,0,0,0,0,0,0,0
"OTU_10304",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1032",0,9,0,0,10,0,0,8,20,0,0,74,0,0,0,0,0,0
"OTU_1033",0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10331",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1035",0,0,0,0,0,0,0,91,0,0,0,0,0,0,262,0,0,0
"OTU_10454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10459",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_10466",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_105",0,0,0,0,2356,0,14,0,0,0,0,0,0,0,0,0,49,22
"OTU_10510",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_10517",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"OTU_1058",0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0
"OTU_10582",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1061",0,0,0,147,0,0,0,0,0,0,0,0,28,0,0,0,0,0
"OTU_1064",0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
"OTU_10674",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_1077",0,0,39,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
"OTU_10780",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_10792",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_1083",0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0
"OTU_1084",0,0,0,0,0,0,21,0,0,0,0,0,0,0,93,0,14,0
"OTU_1087",0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
"OTU_1094",21,43,0,0,0,6,0,4,20,0,31,9,0,0,0,0,0,0
"OTU_10951",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
