"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",0,0,0,0,992,1584,0,0,0,0,0,0,0,0,2287,1919,1762,0
"OTU_10",0,0,0,0,1398,553,0,0,0,0,0,0,0,0,0,0,0,19
"OTU_100",20,198,0,0,5,33,98,49,94,62,69,10,0,0,4,4,1,128
"OTU_10001",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_10041",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10047",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"OTU_10063",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1010",16,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0
"OTU_10134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10224",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_10262",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_10279",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10281",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10305",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_104",36,0,2,340,0,0,0,0,0,0,57,0,44,351,0,0,0,0
"OTU_1043",0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"OTU_10518",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_1059",0,1,0,0,3,5,0,20,6,2,0,0,0,0,1,0,1,0
"OTU_1065",0,24,0,0,0,0,0,12,20,0,0,16,0,0,0,0,0,0
"OTU_1066",0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,28
"OTU_1068",0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0
"OTU_10737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_10741",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_1079",0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_108",506,0,10,2,0,0,0,0,0,0,0,0,4,5,0,0,0,0
"OTU_10819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_10855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11020",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_1117",0,0,0,0,4,6,0,17,25,1,0,0,0,0,0,0,0,0
"OTU_11325",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_1135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"OTU_1137",0,68,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_1154",1,14,3,3,0,0,0,0,1,0,28,3,0,3,0,0,0,0
"OTU_11595",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_11615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1165",0,12,0,0,1,2,0,20,9,0,0,1,0,0,0,0,0,0
"OTU_11719",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"OTU_118",19,0,3,244,0,0,0,0,0,0,49,0,47,140,0,0,0,0
"OTU_1186",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"OTU_1190",0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
"OTU_11908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_11922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1197",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12",0,0,0,0,0,0,0,0,0,0,29,0,0,55,0,0,0,0
"OTU_120",0,104,0,0,11,26,52,231,56,37,0,43,0,0,0,0,0,39
"OTU_1200",31,0,0,0,0,0,0,0,0,0,34,0,0,9,0,0,0,0
"OTU_1223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,57
"OTU_1230",0,0,0,0,2,3,0,6,13,0,0,0,0,0,0,0,0,4
"OTU_1239",0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,14
"OTU_12393",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_1249",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1274",0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"OTU_12742",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1277",0,29,0,0,0,2,6,11,14,4,0,0,0,0,0,0,0,0
"OTU_1299",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1312",0,6,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0
"OTU_1334",0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,6
"OTU_13464",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_13470",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"OTU_1350",0,57,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"OTU_13605",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1370",0,0,0,0,0,0,3,0,0,24,0,0,0,0,0,0,0,0
"OTU_13730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1378",0,15,0,0,0,0,11,14,12,5,0,3,0,0,0,0,0,0
"OTU_13983",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_1402",0,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,0,0
"OTU_1403",0,45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_14088",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1409",0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1410",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,12
"OTU_1422",0,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12
"OTU_1437",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1441",0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_146",0,219,0,0,0,0,6,57,30,6,0,276,0,0,0,0,0,0
