"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1",1711,15074,0,3543,18335,27113,4307,9333,7611,5787,3042,16930,0,0,4765,9542,9976,388
"OTU_10",695,4710,81,874,6490,12296,456,1465,1094,631,962,2610,534,73,2420,2453,1239,1831
"OTU_100",0,0,0,0,439,49,33,2153,860,23,0,0,280,60,159,35,134,55
"OTU_1000",0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,87,30,0
"OTU_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0
"OTU_1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"OTU_1006",0,133,0,0,0,12,0,0,29,0,0,0,0,0,0,0,0,0
"OTU_1007",0,0,0,0,39,15,56,18,12,0,0,0,0,0,4,0,0,0
"OTU_1008",0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0
"OTU_101",83,2038,0,33,29,93,47,114,1148,39,65,151,0,0,207,192,157,79
"OTU_1011",0,0,57,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1012",0,42,0,0,0,0,0,25,55,0,0,0,0,0,0,0,0,0
"OTU_1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0
"OTU_1016",0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0
"OTU_1017",53,0,0,17,0,0,14,4,0,40,10,0,0,0,0,0,0,0
"OTU_1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,43,0
"OTU_1019",128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_102",0,229,93,9,41,0,70,611,805,43,36,2009,0,160,0,0,0,387
"OTU_1021",0,0,0,113,0,0,0,0,0,0,0,0,25,14,0,0,0,0
"OTU_1024",0,0,0,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0
"OTU_1025",0,0,0,0,0,0,6,56,0,0,0,0,39,0,0,0,11,0
"OTU_1026",0,0,0,0,4,0,5,16,32,0,0,52,0,0,0,0,0,0
"OTU_1027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
"OTU_10282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"OTU_1029",0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0
"OTU_103",68,0,1484,887,117,0,0,0,0,0,22,56,1463,148,38,0,147,665
"OTU_1030",56,0,0,0,0,0,0,0,0,0,31,21,16,0,0,0,0,0
"OTU_1032",0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1037",0,0,0,0,38,11,18,7,0,8,6,0,0,0,0,0,0,15
"OTU_1038",0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1039",72,0,0,0,18,0,0,0,0,29,15,18,0,0,28,0,0,13
"OTU_1041",111,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
"OTU_1042",0,101,0,0,0,0,0,0,50,0,0,0,0,0,13,0,0,0
"OTU_1044",0,103,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0
"OTU_1045",0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0
"OTU_1046",59,0,0,40,0,0,22,0,0,20,0,0,0,0,0,0,0,0
"OTU_1047",0,55,0,0,0,16,0,0,45,0,0,0,0,0,0,0,0,0
