"","C1","C2","C3","C4","C5","C6","C7","C8","C9","NTC","PCR1","X","Kingdom","Phylum","Class","Order","Family","Genus","NA"
"OTU_1",0,3,129,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10",0,0,42,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10160",0,0,0,0,0,0,0,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1025",0,0,0,0,0,0,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10305",0,0,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10307",0,0,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10308",0,0,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10310",0,0,11,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10311",0,0,0,18,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10313",0,0,0,11,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10315",0,0,0,11,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10316",0,0,0,0,11,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10317",0,0,0,0,0,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10318",0,0,0,0,0,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10320",0,0,0,0,0,0,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10321",0,0,0,0,0,0,0,0,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_1062",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_10807",4,0,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
