"","sitecode","type","Lat","Long","SSS","SSSlat","SSSlon","impactlon","impactlat","impact","chla_oct","chla_oct_lat","chla_oct_lon","chla_3yrmean"
"1","SB","m",-33.018908,17.950512,35.0385131835938,-33.125,17.875,17.9457261659224,-33.0248996822088,3.19541501998901,1.87338829040527,-33.0625,17.8958339691162,2.59870886305968
"2","SY","m",-33.026701,17.960758,35.0385131835938,-33.125,17.875,17.9561263449252,-33.0248996822088,3.24602723121643,1.87338829040527,-33.0625,17.8958339691162,2.59870886305968
"3","SN","n",-33.071672,18.038446,35.0385131835938,-33.125,17.875,18.024708034962,-33.0733931571246,3.03661894798279,1.80756437778473,-33.1041679382324,17.9375,2.80814636747042
"4","SM","m",-33.046315,18.04028,35.0385131835938,-33.125,17.875,18.0320178103904,-33.0491451605535,2.99548101425171,1.80756437778473,-33.1041679382324,17.9375,2.80814636747042
"5","TB","m",-33.909055,18.419893,35.1515998840332,-33.875,18.375,18.4356180650521,-33.8993435228432,4.86594724655151,1.89087665081024,-33.8958320617676,18.3958339691162,3.31588245431582
"6","HB","m",-34.049767,18.348042,35.1515998840332,-33.875,18.375,18.3516878102123,-34.0535279979965,3.22474765777588,1.91176211833954,-34.0208320617676,18.3125,2.12023753672838
"7","HN","n",-34.049016,18.360954,35.1515998840332,-33.875,18.375,18.3610698646393,-34.0454103957968,3.32295060157776,1.91176211833954,-34.0208320617676,18.3125,2.12023753672838
"8","MB","m",-34.178386,22.144918,35.2419013977051,-34.375,22.125,22.1448060531513,-34.1834495443201,3.05939388275146,1.09024393558502,-34.1875,22.1458339691162,1.13185857981443
"9","MN","n",-34.299278,21.944026,35.2419013977051,-34.375,22.125,21.94303706855,-34.2971927605313,0.973617613315582,1.3664767742157,-34.2708320617676,21.9375,1.47232913598418
"10","KN","m",-34.041086,23.043592,35.205810546875,-34.375,23.125,23.0428911327579,-34.0372930864114,2.97130823135376,1.27532708644867,-34.1041679382324,23.0625,1.43343299627304
"11","NK","n",-34.05877,23.034025,35.205810546875,-34.375,23.125,23.0456404597683,-34.0535279979965,2.6310932636261,1.59231495857239,-34.1041679382324,23.0208339691162,1.44581754257282
"12","CN","n",-34.212257,24.837625,35.2758903503418,-34.375,24.875,24.8355985233266,-34.2159416998533,0.922378957271576,1.09082090854645,-34.2291679382324,24.8541660308838,1.17264649520318
"13","PE","m",-33.96692,25.634461,35.2776985168457,-34.125,25.625,25.637753698832,-33.9642504607624,3.96786546707153,2.00022745132446,-33.9375,25.6458339691162,1.79679688314597
"14","BR","m",-33.679558,26.655841,35.2705993652344,-33.875,26.625,26.6626091741004,-33.6885242568694,2.24149775505066,1.19188666343689,-33.6875,26.6875,2.08434804280599
"15","PA","m",-33.593546,26.892084,35.3118095397949,-33.625,27.125,26.8960477501897,-33.5993902262582,2.73046278953552,3.49737548828125,-33.6041679382324,26.9375,2.03708816816409
"16","EL","m",-33.024163,27.896269,35.3801879882812,-33.125,28.125,27.9002907994153,-33.0329812286933,4.2779974937439,1.67276954650879,-33.0208320617676,27.9375,1.35945164660613
"17","DU","m",-29.862663,31.021903,35.3634872436523,-29.875,31.125,31.0560778605676,-29.8614998016332,5.01594924926758,0.759269416332245,-29.8541660308838,31.0625,0.79984587430954
"18","RB","m",-28.793908,32.079184,35.3582878112793,-28.875,32.125,32.0820818106367,-28.8103447415026,4.57898139953613,0.530307173728943,-28.8125,32.1041679382324,0.855039560546478
"19","RN","n",-28.827437,32.035825,35.3582878112793,-28.875,32.125,32.04768682545,-28.8421381231959,4.16418123245239,1.54918026924133,-28.8541660308838,32.0625,1.04540929446618
