sitecode,SY,SB,SM,SN,TB,HB,HN,MN,MB,NK,KN,CN,PE,BR,PA,EL,DU,DN,RB,RN
SY,0,,,,,,,,,,,,,,,,,,,
SB,1.68,0,,,,,,,,,,,,,,,,,,
SM,17.81,16.13,0,,,,,,,,,,,,,,,,,
SN,20.84,19.16,3.03,0,,,,,,,,,,,,,,,,
TB,146.01,144.33,128.2,125.17,0,,,,,,,,,,,,,,,
HB,176.69,175.01,158.88,155.85,30.68,0,,,,,,,,,,,,,,
HN,178.05,176.37,160.24,157.21,32.04,1.36,0,,,,,,,,,,,,,
MN,688.69,687.01,670.88,667.85,542.68,512,510.64,0,,,,,,,,,,,,
MB,721.76,720.08,703.95,700.92,575.75,545.07,543.71,33.07,0,,,,,,,,,,,
NK,826.96,825.28,809.15,806.12,680.95,650.27,648.91,138.27,105.2,0,,,,,,,,,,
KN,829.12,827.44,811.31,808.28,683.11,652.43,651.07,140.43,107.36,2.16,0,,,,,,,,,
CN,1019.31,1017.63,1001.5,998.47,873.3,842.62,841.26,330.62,297.55,192.35,190.19,0,,,,,,,,
PE,1135.78,1134.1,1117.97,1114.94,989.77,959.09,957.73,447.09,414.02,308.82,306.66,116.47,0,,,,,,,
BR,1255.91,1254.23,1238.1,1235.07,1109.9,1079.22,1077.86,567.22,534.15,428.95,426.79,236.6,120.13,0,,,,,,
PA,1284.36,1282.68,1266.55,1263.52,1138.35,1107.67,1106.31,595.67,562.6,457.4,455.24,265.05,148.58,28.45,0,,,,,
EL,1403.8,1402.12,1385.99,1382.96,1257.79,1227.11,1225.75,715.11,682.04,576.84,574.68,384.49,268.02,147.89,119.44,0,,,,
DU,1880.86,1879.18,1863.05,1860.02,1734.85,1704.17,1702.81,1192.17,1159.1,1053.9,1051.74,861.55,745.08,624.95,596.5,477.06,0,,,
DN,1891.92,1890.24,1874.11,1871.08,1745.91,1715.23,1713.87,1203.23,1170.16,1064.96,1062.8,872.61,756.14,636.01,607.56,488.12,11.06,0,,
RB,2049.21,2047.53,2031.4,2028.37,1903.2,1872.52,1871.16,1360.52,1327.45,1222.25,1220.09,1029.9,913.43,793.3,764.85,645.41,168.35,157.29,0,
RN,2054.19,2052.51,2036.38,2033.35,1908.18,1877.5,1876.14,1365.5,1332.43,1227.23,1225.07,1034.88,918.41,798.28,769.83,650.39,173.33,162.27,4.98,0
