Species,Year,Range,Survey
C. lepadiformis,1930,0,H 
C. lepadiformis,1950,0,H 
C. lepadiformis,1960,0,H 
C. lepadiformis,2000,278,H 
C. lepadiformis,2007,1199,H 
C. lepadiformis,2009,1568,H 
C. lepadiformis,2017,1844,R
C. lepadiformis,2017,1844,E
A. aspersa,1930,0,H 
A. aspersa,1950,0,H 
A. aspersa,1960,0,H 
A. aspersa,2000,943,H 
A. aspersa,2007,943,H 
A. aspersa,2009,943,H 
A. aspersa,2017,943,R
A. aspersa,2017,1080,E
C. intestinalis,1930,0,H 
C. intestinalis,1950,5,H 
C. intestinalis,1960,1538,H 
C. intestinalis,2000,1568,H 
C. intestinalis,2007,1683,H 
C. intestinalis,2009,2184,H 
C. intestinalis,2017,1080,R
C. intestinalis,2017,1080,E
S. plicata,1930,0,H 
S. plicata,1950,5,H 
S. plicata,1960,5,H 
S. plicata,2000,5,H 
S. plicata,2007,1109,H 
S. plicata,2009,1683,H 
S. plicata,2017,1844,R
S. plicata,2017,1844,E
M. squamiger,1930,0,H 
M. squamiger,1950,5,H 
M. squamiger,1960,5,H 
M. squamiger,2000,1018,H 
M. squamiger,2007,1109,H 
M. squamiger,2009,1270,H 
M. squamiger,2017,1270,R
M. squamiger,2017,1844,E
