ID,COI,ZHAN,PROK,Type,sitetype
Coral,L.AQ1,L.AQ1,Coral,other,
BR1,L.BR1,Z.BR1,BR1,sample,m
BR2,L.BR2,Z.BR2,BR2,sample,m
BR3,L.BR3,Z.BR3,BR3,sample,m
C1,L.C1,Z.C1,C1,control,
C2,L.C2,Z.C2,C2,control, 
C3,L.C3,Z.C3,C3,control,
C4,L.C4,Z.C4,C4,control,
C5,L.C5,Z.C5,C5,control,
C6,L.C6,Z.C6,C6,control,
C7,L.C7,Z.C7,C7,control,
C8,L.C8,Z.C8,C8,control,
C9,L.C9,Z.C9,C9,control,
CN1,L.CN1,Z.CN1,CN1,sample,n
CN2,L.CN2,Z.CN2,CN2,sample,n
CN3,L.CN3,Z.CN3,CN3,sample,n
DU1,L.DU1,Z.DU1,DU1,sample,m
DU2,L.DU2,Z.DU2,DU2,sample,m
DU3,L.DU3,Z.DU3,DU3,sample,m
EL1,L.EL1,Z.EL1,EL1,sample,m
EL2,L.EL2,Z.EL2,EL2,sample,m
EL3,L.EL3,Z.EL3,EL3,sample,m
HB1,L.HB1,Z.HB1,HB1,sample,m
HB2,L.HB2,Z.HB2,HB2,sample,m
HB3,L.HB3,Z.HB3,HB3,sample,m
HN1,L.HN1,Z.HN1,HN1,sample,n
HN2,L.HN2,Z.HN2,HN2,sample,n
HN3,L.HN3,Z.HN3,HN3,sample,n
KN1,L.KN1,Z.KN1,KN1,sample,m
KN2,L.KN2,Z.KN2,KN2,sample,m
KN3,L.KN3,Z.KN3,KN3,sample,m
MB1,L.MB1,Z.MB1,MB1,sample,m
MB2,L.MB2,Z.MB2,MB2,sample,m
MB3,L.MB3,Z.MB3,MB3,sample,m
MN1,L.MN1,Z.MN1,MN1,sample,n
MN2,L.MN2,Z.MN2,MN2,sample,n
MN3,L.MN3,Z.MN3,MN3,sample,n
NK1,L.NK1,Z.NK1,NK1,sample,n
NK2,L.NK2,Z.NK2,NK2,sample,n
NK3,L.NK3,Z.NK3,NK3,sample,n
PA1,L.PA1,Z.PA1,PA1,sample,m
PA2,L.PA2,Z.PA2,PA2,sample,m
PA3,L.PA3,Z.PA3,PA3,sample,m
PCR1,L.PCR1,Z.PCR1,PCR1,control,
PCR2,,,PCR2,control,
PE1,L.PE1,Z.PE1,PE1,sample,m
PE2,L.PE2,Z.PE2,PE2,sample,m
PE3,L.PE3,Z.PE3,PE3,sample,m
RB1,L.RB1,Z.RB1,RB1,sample,m
RB2,L.RB2,Z.RB2,RB2,sample,m
RB3,L.RB3,Z.RB3,RB3,sample,m
RN1,L.RN1,Z.RN1,RN1,sample,n
RN2,L.RN2,Z.RN2,RN2,sample,n
RN3,L.RN3,Z.RN3,RN3,sample,n
SB1,L.SB1,Z.SB1,SB1,sample,m
SB2,L.SB2,Z.SB2,SB2,sample,m
SB3,L.SB3,Z.SB3,SB3,sample,m
SM1,L.SM1,Z.SM1,SM1,sample,m
SM2,L.SM2,Z.SM2,SM2,sample,m
SM3,L.SM3,Z.SM3,SM3,sample,m
SN1,L.SN1,Z.SN1,SN1,sample,n
SN2,L.SN2,Z.SN2,SN2,sample,n
SN3,L.SN3,Z.SN3,SN3,sample,n
SY1,L.SY1,Z.SY1,SY1,sample,m
SY2,L.SY2,Z.SY2,SY2,sample,m
SY3,L.SY3,Z.SY3,SY3,sample,m
TB1,L.TB1,Z.TB1,TB1,sample,m
TB2,L.TB2,Z.TB2,TB2,sample,m
TB3,L.TB3,Z.TB3,TB3,sample,m
NTC,,,NTC,control,
