"","ID","Nobs","Pperm.coast","Pdisp","DistDecayPsiteadd","DistDecayPsiteInt"
"Bacillariophyta","Bacillariophyta","501","0.001","0.0866","0.01143","0.34762"
"","","479","0.001","0.2982","0.01075","1e-05"
"Arthropoda","Arthropoda","118","0.004","0.4049","0.84545","0.34031"
"Proteobacteria","Proteobacteria","283","0.001","0.1959","0.08668","0.52968"
"Chordata","Chordata","49","0.001","0.9034","0.5973","0.24385"
"Porifera","Porifera","40","0.007","0.2354","0.54061","0.87247"
"Chlorophyta","Chlorophyta","49","0.001","0.0782","0.60641","0.93666"
"Cnidaria","Cnidaria","126","0.001","0.3519","0.1943","0.95235"
"Rhodophyta","Rhodophyta","166","0.001","0.3253","0.30641","0.98777"
"Mollusca","Mollusca","61","0.001","0.9034","0.84802","0.53764"
