"","V1","V2","V3","V4"
"1",0.006,0.3,1,20
"2",0.001,0.32,1,20
"3",0.001,0.34,1,20
"4",0.168,0.36,1,20
"5",0.004,0.38,1,20
"6",0.02,0.4,1,20
"7",0.105,0.42,1,20
"8",0.159,0.44,1,20
"9",0.008,0.3,2,20
"10",0.002,0.32,2,20
"11",0.071,0.34,2,20
"12",0.099,0.36,2,20
"13",0.477,0.38,2,20
"14",0.401,0.4,2,20
"15",0.409,0.42,2,20
"16",0.608,0.44,2,20
"17",0.002,0.3,3,20
"18",0.001,0.32,3,20
"19",0.001,0.34,3,20
"20",0.273,0.36,3,20
"21",0.023,0.38,3,20
"22",0.31,0.4,3,20
"23",0.703,0.42,3,20
"24",0.652,0.44,3,20
"25",0.001,0.3,4,20
"26",0.004,0.32,4,20
"27",0.012,0.34,4,20
"28",0.001,0.36,4,20
"29",0.049,0.38,4,20
"30",0.087,0.4,4,20
"31",0.435,0.42,4,20
"32",0.862,0.44,4,20
"33",0.002,0.3,5,20
"34",0.018,0.32,5,20
"35",0.055,0.34,5,20
"36",0.003,0.36,5,20
"37",0.122,0.38,5,20
"38",0.138,0.4,5,20
"39",0.49,0.42,5,20
"40",0.354,0.44,5,20
"41",0.003,0.3,6,20
"42",0.031,0.32,6,20
"43",0.026,0.34,6,20
"44",0.434,0.36,6,20
"45",0.106,0.38,6,20
"46",0.165,0.4,6,20
"47",0.126,0.42,6,20
"48",0.072,0.44,6,20
"49",0.002,0.3,7,20
"50",0.002,0.32,7,20
"51",0.09,0.34,7,20
"52",0.114,0.36,7,20
"53",0.235,0.38,7,20
"54",0.334,0.4,7,20
"55",0.005,0.42,7,20
"56",0.146,0.44,7,20
"57",0.001,0.3,8,20
"58",0.01,0.32,8,20
"59",0.028,0.34,8,20
"60",0.007,0.36,8,20
"61",0.108,0.38,8,20
"62",0.434,0.4,8,20
"63",0.71,0.42,8,20
"64",0.359,0.44,8,20
"65",0.002,0.3,9,20
"66",0.216,0.32,9,20
"67",0.052,0.34,9,20
"68",0.056,0.36,9,20
"69",0.001,0.38,9,20
"70",0.067,0.4,9,20
"71",0.672,0.42,9,20
"72",0.121,0.44,9,20
"73",0.002,0.3,10,20
"74",0.002,0.32,10,20
"75",0.002,0.34,10,20
"76",0.355,0.36,10,20
"77",0.226,0.38,10,20
"78",0.299,0.4,10,20
"79",0.292,0.42,10,20
"80",0.442,0.44,10,20
"81",0.001,0.3,11,20
"82",0.001,0.32,11,20
"83",0.152,0.34,11,20
"84",0.117,0.36,11,20
"85",0.062,0.38,11,20
"86",0.338,0.4,11,20
"87",0.437,0.42,11,20
"88",0.749,0.44,11,20
"89",0.001,0.3,12,20
"90",0.011,0.32,12,20
"91",0.001,0.34,12,20
"92",0.171,0.36,12,20
"93",0.308,0.38,12,20
"94",0.154,0.4,12,20
"95",0.141,0.42,12,20
"96",0.113,0.44,12,20
"97",0.001,0.3,13,20
"98",0.071,0.32,13,20
"99",0.003,0.34,13,20
"100",0.006,0.36,13,20
"101",0.553,0.38,13,20
"102",0.272,0.4,13,20
"103",0.033,0.42,13,20
"104",0.678,0.44,13,20
"105",0.001,0.3,14,20
"106",0.052,0.32,14,20
"107",0.079,0.34,14,20
"108",0.195,0.36,14,20
"109",0.26,0.38,14,20
"110",0.042,0.4,14,20
"111",0.017,0.42,14,20
"112",0.099,0.44,14,20
"113",0.02,0.3,15,20
"114",0.012,0.32,15,20
"115",0.134,0.34,15,20
"116",0.085,0.36,15,20
"117",0.359,0.38,15,20
"118",0.149,0.4,15,20
"119",0.307,0.42,15,20
"120",0.455,0.44,15,20
"121",0.002,0.3,16,20
"122",0.002,0.32,16,20
"123",0.031,0.34,16,20
"124",0.032,0.36,16,20
"125",0.092,0.38,16,20
"126",0.114,0.4,16,20
"127",0.041,0.42,16,20
"128",0.166,0.44,16,20
"129",0.001,0.3,17,20
"130",0.016,0.32,17,20
"131",0.004,0.34,17,20
"132",0.095,0.36,17,20
"133",0.014,0.38,17,20
"134",0.389,0.4,17,20
"135",0.299,0.42,17,20
"136",0.887,0.44,17,20
"137",0.001,0.3,18,20
"138",0.001,0.32,18,20
"139",0.004,0.34,18,20
"140",0.011,0.36,18,20
"141",0.128,0.38,18,20
"142",0.162,0.4,18,20
"143",0.096,0.42,18,20
"144",0.31,0.44,18,20
"145",0.011,0.3,19,20
"146",0.053,0.32,19,20
"147",0.015,0.34,19,20
"148",0.122,0.36,19,20
"149",0.035,0.38,19,20
"150",0.106,0.4,19,20
"151",0.788,0.42,19,20
"152",0.64,0.44,19,20
"153",0.014,0.3,20,20
"154",0.049,0.32,20,20
"155",0.094,0.34,20,20
"156",0.002,0.36,20,20
"157",0.099,0.38,20,20
"158",0.117,0.4,20,20
"159",0.333,0.42,20,20
"160",0.266,0.44,20,20
"161",0.001,0.3,21,20
"162",0.001,0.32,21,20
"163",0.03,0.34,21,20
"164",0.012,0.36,21,20
"165",0.239,0.38,21,20
"166",0.219,0.4,21,20
"167",0.232,0.42,21,20
"168",0.726,0.44,21,20
"169",0.004,0.3,22,20
"170",0.001,0.32,22,20
"171",0.169,0.34,22,20
"172",0.155,0.36,22,20
"173",0.497,0.38,22,20
"174",0.077,0.4,22,20
"175",0.051,0.42,22,20
"176",0.174,0.44,22,20
"177",0.005,0.3,23,20
"178",0.007,0.32,23,20
"179",0.003,0.34,23,20
"180",0.013,0.36,23,20
"181",0.29,0.38,23,20
"182",0.171,0.4,23,20
"183",0.909,0.42,23,20
"184",0.408,0.44,23,20
"185",0.12,0.3,24,20
"186",0.003,0.32,24,20
"187",0.119,0.34,24,20
"188",0.046,0.36,24,20
"189",0.022,0.38,24,20
"190",0.11,0.4,24,20
"191",0.005,0.42,24,20
"192",0.295,0.44,24,20
"193",0.004,0.3,25,20
"194",0.234,0.32,25,20
"195",0.003,0.34,25,20
"196",0.057,0.36,25,20
"197",0.51,0.38,25,20
"198",0.351,0.4,25,20
"199",0.421,0.42,25,20
"200",0.2,0.44,25,20
"201",0.002,0.3,26,20
"202",0.003,0.32,26,20
"203",0.002,0.34,26,20
"204",0.022,0.36,26,20
"205",0.287,0.38,26,20
"206",0.292,0.4,26,20
"207",0.82,0.42,26,20
"208",0.23,0.44,26,20
"209",0.001,0.3,27,20
"210",0.006,0.32,27,20
"211",0.031,0.34,27,20
"212",0.149,0.36,27,20
"213",0.184,0.38,27,20
"214",0.013,0.4,27,20
"215",0.071,0.42,27,20
"216",0.403,0.44,27,20
"217",0.001,0.3,28,20
"218",0.007,0.32,28,20
"219",0.019,0.34,28,20
"220",0.018,0.36,28,20
"221",0.006,0.38,28,20
"222",0.299,0.4,28,20
"223",0.102,0.42,28,20
"224",0.033,0.44,28,20
"225",0.004,0.3,29,20
"226",0.009,0.32,29,20
"227",0.001,0.34,29,20
"228",0.028,0.36,29,20
"229",0.094,0.38,29,20
"230",0.041,0.4,29,20
"231",0.286,0.42,29,20
"232",0.137,0.44,29,20
"233",0.001,0.3,30,20
"234",0.001,0.32,30,20
"235",0.131,0.34,30,20
"236",0.045,0.36,30,20
"237",0.433,0.38,30,20
"238",0.217,0.4,30,20
"239",0.268,0.42,30,20
"240",0.367,0.44,30,20
"241",0.001,0.3,31,20
"242",0.006,0.32,31,20
"243",0.128,0.34,31,20
"244",0.009,0.36,31,20
"245",0.62,0.38,31,20
"246",0.45,0.4,31,20
"247",0.019,0.42,31,20
"248",0.576,0.44,31,20
"249",0.002,0.3,32,20
"250",0.004,0.32,32,20
"251",0.001,0.34,32,20
"252",0.038,0.36,32,20
"253",0.001,0.38,32,20
"254",0.1,0.4,32,20
"255",0.361,0.42,32,20
"256",0.302,0.44,32,20
"257",0.002,0.3,33,20
"258",0.005,0.32,33,20
"259",0.007,0.34,33,20
"260",0.065,0.36,33,20
"261",0.08,0.38,33,20
"262",0.167,0.4,33,20
"263",0.055,0.42,33,20
"264",0.842,0.44,33,20
"265",0.001,0.3,34,20
"266",0.005,0.32,34,20
"267",0.043,0.34,34,20
"268",0.094,0.36,34,20
"269",0.451,0.38,34,20
"270",0.066,0.4,34,20
"271",0.168,0.42,34,20
"272",0.997,0.44,34,20
"273",0.005,0.3,35,20
"274",0.007,0.32,35,20
"275",0.324,0.34,35,20
"276",0.081,0.36,35,20
"277",0.231,0.38,35,20
"278",0.065,0.4,35,20
"279",0.124,0.42,35,20
"280",0.011,0.44,35,20
"281",0.004,0.3,36,20
"282",0.031,0.32,36,20
"283",0.004,0.34,36,20
"284",0.077,0.36,36,20
"285",0.111,0.38,36,20
"286",0.183,0.4,36,20
"287",0.463,0.42,36,20
"288",0.138,0.44,36,20
"289",0.007,0.3,37,20
"290",0.105,0.32,37,20
"291",0.009,0.34,37,20
"292",0.16,0.36,37,20
"293",0.258,0.38,37,20
"294",0.108,0.4,37,20
"295",0.691,0.42,37,20
"296",0.061,0.44,37,20
"297",0.001,0.3,38,20
"298",0.001,0.32,38,20
"299",0.042,0.34,38,20
"300",0.015,0.36,38,20
"301",0.581,0.38,38,20
"302",0.437,0.4,38,20
"303",0.003,0.42,38,20
"304",0.293,0.44,38,20
"305",0.001,0.3,39,20
"306",0.068,0.32,39,20
"307",0.002,0.34,39,20
"308",0.027,0.36,39,20
"309",0.017,0.38,39,20
"310",0.131,0.4,39,20
"311",0.291,0.42,39,20
"312",0.063,0.44,39,20
"313",0.001,0.3,40,20
"314",0.001,0.32,40,20
"315",0.001,0.34,40,20
"316",0.014,0.36,40,20
"317",0.048,0.38,40,20
"318",0.006,0.4,40,20
"319",0.873,0.42,40,20
"320",0.165,0.44,40,20
"321",0.044,0.3,41,20
"322",0.004,0.32,41,20
"323",0.032,0.34,41,20
"324",0.003,0.36,41,20
"325",0.08,0.38,41,20
"326",0.459,0.4,41,20
"327",0.01,0.42,41,20
"328",0.04,0.44,41,20
"329",0.002,0.3,42,20
"330",0.002,0.32,42,20
"331",0.001,0.34,42,20
"332",0.002,0.36,42,20
"333",0.334,0.38,42,20
"334",0.683,0.4,42,20
"335",0.545,0.42,42,20
"336",0.743,0.44,42,20
"337",0.003,0.3,43,20
"338",0.001,0.32,43,20
"339",0.001,0.34,43,20
"340",0.114,0.36,43,20
"341",0.089,0.38,43,20
"342",0.035,0.4,43,20
"343",0.411,0.42,43,20
"344",0.004,0.44,43,20
"345",0.004,0.3,44,20
"346",0.001,0.32,44,20
"347",0.262,0.34,44,20
"348",0.005,0.36,44,20
"349",0.174,0.38,44,20
"350",0.43,0.4,44,20
"351",0.04,0.42,44,20
"352",0.217,0.44,44,20
"353",0.001,0.3,45,20
"354",0.006,0.32,45,20
"355",0.001,0.34,45,20
"356",0.046,0.36,45,20
"357",0.048,0.38,45,20
"358",0.505,0.4,45,20
"359",0.205,0.42,45,20
"360",0.729,0.44,45,20
"361",0.004,0.3,46,20
"362",0.002,0.32,46,20
"363",0.193,0.34,46,20
"364",0.309,0.36,46,20
"365",0.073,0.38,46,20
"366",0.233,0.4,46,20
"367",0.172,0.42,46,20
"368",0.95,0.44,46,20
"369",0.009,0.3,47,20
"370",0.076,0.32,47,20
"371",0.019,0.34,47,20
"372",0.029,0.36,47,20
"373",0.026,0.38,47,20
"374",0.002,0.4,47,20
"375",0.369,0.42,47,20
"376",0.772,0.44,47,20
"377",0.003,0.3,48,20
"378",0.012,0.32,48,20
"379",0.023,0.34,48,20
"380",0.054,0.36,48,20
"381",0.143,0.38,48,20
"382",0.454,0.4,48,20
"383",0.086,0.42,48,20
"384",0.36,0.44,48,20
"385",0.001,0.3,49,20
"386",0.013,0.32,49,20
"387",0.001,0.34,49,20
"388",0.138,0.36,49,20
"389",0.072,0.38,49,20
"390",0.069,0.4,49,20
"391",0.767,0.42,49,20
"392",0.215,0.44,49,20
"393",0.001,0.3,50,20
"394",0.014,0.32,50,20
"395",0.006,0.34,50,20
"396",0.024,0.36,50,20
"397",0.013,0.38,50,20
"398",0.012,0.4,50,20
"399",0.587,0.42,50,20
"400",0.418,0.44,50,20
"401",0.001,0.3,51,20
"402",0.005,0.32,51,20
"403",0.036,0.34,51,20
"404",0.001,0.36,51,20
"405",0.224,0.38,51,20
"406",0.765,0.4,51,20
"407",0.459,0.42,51,20
"408",0.364,0.44,51,20
"409",0.002,0.3,52,20
"410",0.004,0.32,52,20
"411",0.178,0.34,52,20
"412",0.014,0.36,52,20
"413",0.635,0.38,52,20
"414",0.804,0.4,52,20
"415",0.375,0.42,52,20
"416",0.766,0.44,52,20
"417",0.001,0.3,53,20
"418",0.006,0.32,53,20
"419",0.021,0.34,53,20
"420",0.038,0.36,53,20
"421",0.065,0.38,53,20
"422",0.278,0.4,53,20
"423",0.449,0.42,53,20
"424",0.535,0.44,53,20
"425",0.001,0.3,54,20
"426",0.001,0.32,54,20
"427",0.02,0.34,54,20
"428",0.002,0.36,54,20
"429",0.219,0.38,54,20
"430",0.011,0.4,54,20
"431",0.909,0.42,54,20
"432",0.041,0.44,54,20
"433",0.005,0.3,55,20
"434",0.002,0.32,55,20
"435",0.008,0.34,55,20
"436",0.08,0.36,55,20
"437",0.023,0.38,55,20
"438",0.643,0.4,55,20
"439",0.025,0.42,55,20
"440",0.226,0.44,55,20
"441",0.061,0.3,56,20
"442",0.006,0.32,56,20
"443",0.033,0.34,56,20
"444",0.35,0.36,56,20
"445",0.015,0.38,56,20
"446",0.04,0.4,56,20
"447",0.211,0.42,56,20
"448",0.191,0.44,56,20
"449",0.003,0.3,57,20
"450",0.007,0.32,57,20
"451",0.016,0.34,57,20
"452",0.075,0.36,57,20
"453",0.1,0.38,57,20
"454",0.265,0.4,57,20
"455",0.407,0.42,57,20
"456",0.242,0.44,57,20
"457",0.002,0.3,58,20
"458",0.025,0.32,58,20
"459",0.003,0.34,58,20
"460",0.115,0.36,58,20
"461",0.002,0.38,58,20
"462",0.134,0.4,58,20
"463",0.113,0.42,58,20
"464",0.738,0.44,58,20
"465",0.003,0.3,59,20
"466",0.091,0.32,59,20
"467",0.01,0.34,59,20
"468",0.015,0.36,59,20
"469",0.066,0.38,59,20
"470",0.148,0.4,59,20
"471",0.059,0.42,59,20
"472",0.339,0.44,59,20
"473",0.001,0.3,60,20
"474",0.007,0.32,60,20
"475",0.353,0.34,60,20
"476",0.079,0.36,60,20
"477",0.035,0.38,60,20
"478",0.087,0.4,60,20
"479",0.525,0.42,60,20
"480",0.07,0.44,60,20
"481",0.001,0.3,61,20
"482",0.003,0.32,61,20
"483",0.044,0.34,61,20
"484",0.237,0.36,61,20
"485",0.261,0.38,61,20
"486",0.259,0.4,61,20
"487",0.546,0.42,61,20
"488",0.588,0.44,61,20
"489",0.001,0.3,62,20
"490",0.001,0.32,62,20
"491",0.067,0.34,62,20
"492",0.024,0.36,62,20
"493",0.008,0.38,62,20
"494",0.018,0.4,62,20
"495",0.089,0.42,62,20
"496",0.038,0.44,62,20
"497",0.001,0.3,63,20
"498",0.066,0.32,63,20
"499",0.019,0.34,63,20
"500",0.011,0.36,63,20
"501",0.023,0.38,63,20
"502",0.36,0.4,63,20
"503",0.266,0.42,63,20
"504",0.604,0.44,63,20
