"","ID","Nobs","Pperm.coast","Pdisp","DistDecayPsiteadd","DistDecayPsiteInt"
"Arthropoda","Arthropoda","81","0.051","0.5491","0.34552","0.21983"
"Chlorophyta","Chlorophyta","99","0.011","0.9474","0.31776","0.59474"
"Chordata","Chordata","62","0.167","0.9258","0.26876","0.351"
"","","670","0.001","0.1508","0.07567","0.25978"
"Ciliophora","Ciliophora","376","0.002","0.4376","0.3585","0.10871"
"Cryptophyta","Cryptophyta","44","0.406","0.6808","0.32103","0.78387"
"Annelida","Annelida","137","0.001","0.6267","0.54585","0.18352"
"Mollusca","Mollusca","54","0.003","0.5615","0.48437","0.50326"
"Porifera","Porifera","55","0.068","0.6165","0.93416","0.82915"
"Cercozoa","Cercozoa","256","0.001","0.6652","0.12318","0.12797"
"Cnidaria","Cnidaria","81","0.004","0.3853","0.60551","0.39864"
"Rhodophyta","Rhodophyta","107","0.061","0.3766","0.33369","0.76837"
